group,mass_bin,T_bin,O2_bin,n
demersal,10^1 g,3.75,12.25,1
demersal,10^1 g,3.75,12.75,4
demersal,10^1 g,3.75,13.25,11
demersal,10^1 g,3.75,13.75,2
demersal,10^1 g,3.75,14.25,4
demersal,10^1 g,3.75,15.75,43
demersal,10^1 g,3.75,16.75,1
demersal,10^1 g,3.75,17.75,61
demersal,10^1 g,3.75,18.25,6
demersal,10^1 g,3.75,18.75,6
demersal,10^1 g,3.75,19.25,23
demersal,10^1 g,3.75,19.75,10
demersal,10^1 g,3.75,20.25,2
demersal,10^1 g,3.75,20.75,7
demersal,10^1 g,3.75,21.25,5
demersal,10^1 g,3.75,21.75,54
demersal,10^1 g,3.75,22.25,31
demersal,10^1 g,4.25,4.75,5
demersal,10^1 g,4.25,6.75,1
demersal,10^1 g,4.25,7.75,3
demersal,10^1 g,4.25,10.75,1
demersal,10^1 g,4.25,11.25,4
demersal,10^1 g,4.25,12.75,5
demersal,10^1 g,4.25,13.75,1
demersal,10^1 g,4.25,14.25,3
demersal,10^1 g,4.25,14.75,19
demersal,10^1 g,4.25,16.75,1
demersal,10^1 g,4.25,17.25,3
demersal,10^1 g,4.25,17.75,3
demersal,10^1 g,4.25,18.75,6
demersal,10^1 g,4.25,19.25,2
demersal,10^1 g,4.25,20.25,2
demersal,10^1 g,4.25,20.75,2
demersal,10^1 g,4.25,21.25,3
demersal,10^1 g,4.25,21.75,49
demersal,10^1 g,4.25,22.25,33
demersal,10^1 g,4.75,2.25,2
demersal,10^1 g,4.75,3.75,2
demersal,10^1 g,4.75,6.75,3
demersal,10^1 g,4.75,7.25,1
demersal,10^1 g,4.75,9.25,1
demersal,10^1 g,4.75,10.25,1
demersal,10^1 g,4.75,11.25,3
demersal,10^1 g,4.75,11.75,2
demersal,10^1 g,4.75,12.25,2
demersal,10^1 g,4.75,14.75,2
demersal,10^1 g,4.75,15.25,3
demersal,10^1 g,4.75,16.25,4
demersal,10^1 g,4.75,18.75,7
demersal,10^1 g,4.75,19.25,16
demersal,10^1 g,4.75,19.75,1
demersal,10^1 g,4.75,20.75,2
demersal,10^1 g,4.75,21.25,7
demersal,10^1 g,4.75,21.75,230
demersal,10^1 g,4.75,22.25,92
demersal,10^1 g,5.25,7.25,1
demersal,10^1 g,5.25,9.75,4
